Census Blockgroup,Children,Children_wNULLvalues,Elderly,Elderly_wNULLvalues,NonWhite,NonWhite_wNullvalues,Poverty,Poverty_wNULLvalues,Education,Education_wNULLvalues,English,English_wNULLvalues,Elevation,SeaLevelRise,Precipitation,Diabetes,MentalHealth,Asthma,Disability,Disability_wNULLvalues,HousingQuality,Homeless,LivAlone,LivAlone_wNULLvalues,FloodHealthIndex,FloodHealthIndex_Quintiles
060759809001,0.0729571224289,,0.000000000803785,,0.599175,0.599175,0.356678376001,,0.996079927094,0.996079927094,0.150558628451,,-6,0.182261,0.035771,22.058399999999999,36.520000000000003,15.133900000000001,0.133608318612,,14.109299999999999,17.502500000000001,0.48059111555,0.48059111555,84.818999999999988,5
060750201001,0.0798930015311,,0.124000003135,0.124000003135,0.651,0.651,0.509706010019,0.509706010019,0.724000035838,0.724000035838,0.232000001588,,7.83292,0,0.0205164,16.011500000000002,62.0535,10.5741,0.238000004961,0.238000004961,10.240600000000001,15.892099999999999,0.522000022106,0.522000022106,83.48599999999999,5
060750117001,0.0271490014679,,0.103000000901,,0.697,0.697,0.378595002719,0.378595002719,0.862000015261,0.862000015261,0.171000001281,,-1.99906,0.106609,0.00532113,1.4068,98.592399999999998,0.8008,0.187000001281,,39.562199999999997,4.9374,0.635000007496,0.635000007496,83.479100000000003,5
060750178021,0.084215,0.084215,0.088,0.088,0.584,0.584,0.327362,0.327362,0.843,0.843,0.119,0.119,-5.96629,0.0645794,0.0241664,14.9856,54.069899999999997,9.5802,0.229,0.229,7.04366,19.2683,0.427,0.427,82.492500000000007,5
060750125012,0.095331509776,,0.221999067693,0.221999067693,0.726001,0.726001,0.794750290132,0.794750290132,0.694997389929,0.694997389929,0.202999257948,0.202999257948,7.13278,0,0.00410501,15.5,63.749899999999997,12.9672,0.424997971365,0.424997971365,13.7255,14.618399999999999,0.731996890187,0.731996890187,81.806100000000001,5
060750176011,0.109834,0.109834,0.141,0.141,0.733,0.733,0.550862,0.550862,0.806,0.806,0.117,0.117,10.696899999999999,0,0.00862461,16.009399999999999,62.059399999999997,10.5831,0.227,0.227,170.94,19.2683,0.609,0.609,81.799400000000006,5
060750201003,0.079893,0.079893,0.124,0.124,0.651,0.651,0.509706,0.509706,0.724,0.724,0.232,0.232,5.81684,0,0.028468,15.9985,61.883600000000001,10.543799999999999,0.238,0.238,9.687379999999999,3.2195,0.522,0.522,81.506,5
060750101001,0.05751665777,0.05751665777,0.19751667,0.19751667,0.557799,0.557799,0.32755633911,0.32755633911,0.87850698,0.87850698,0.18474196,0.18474196,-7.52577,0.228203,0.00314665,5.1173,22.3352,4.0437,0.12971244,0.12971244,4.54545,4.8488,0.51688442,0.51688442,81.1858,5
060750232002,0.255127660871,,0.100990574381,0.100990574381,0.943005,,0.427604837779,0.427604837779,0.709933071233,0.709933071233,0.0919912328841,,-6,0.102409,0.0151036,23.190300000000001,38.563800000000001,16.108799999999999,0.107989804438,,6.2182,17.613,0.26597487641,,80.865700000000004,5
060750201002,0.0798930849559,0.0798930849559,0.124000120942,0.124000120942,0.650999,0.650999,0.509706339305,0.509706339305,0.724000928254,0.724000928254,0.232000081662,0.232000081662,13.917899999999999,0,0.0137591,16.012499999999999,62.05,10.5693,0.238000183997,0.238000183997,11.5778,3.2195,0.522000531317,0.522000531317,80.832699999999988,5
060750124012,0.11706,0.11706,0.096,0.096,0.781,0.781,0.755098,0.755098,0.683,0.683,0.288,0.288,46.1449,0,0.00636154,12.991899999999999,52.767200000000003,9.950200000000001,0.223,0.223,13.036,19.2683,0.551,0.551,80.806100000000001,5
060750178012,0.018917,,0.554,0.554,0.741,0.741,0.577931,0.577931,0.64,0.64,0.535,0.535,-4.2587,0.0691119,0.00908376,9.9,14.55,4.6817,0.452,0.452,0.462321,19.2683,0.678,0.678,80.525899999999993,5
060750612001,0.207265008702,,0.105,,0.917,0.917,0.503776042544,,0.636000118811,0.636000118811,0.220000017958,,0.851755,0.000183621,0.00701462,23.2,38.58,16.115600000000001,0.0900000159366,,8.45712,17.613,0.264000057324,0.264000057324,80.185900000000004,5
060750180001,0.0423010296393,,0.0500001958613,,0.602,0.602,0.299615246008,0.299615246008,0.864000460895,0.864000460895,0.0480002095726,,-5.3631,0.348208,0.0347239,9.9,14.5501,4.6817,0.134000159165,0.134000159165,3.03306,19.2683,0.571000316981,0.571000316981,80.179000000000002,5
